FixtureID,Date,Timestamp,VenueID,HomeTeamID,AwayTeamID,Status,Round,LeagueID,Season
1325118,2025-08-16T10:00:00+00:00,1755338400,11577.0,4319,7129,NS,Regular Season - 23,100,2025
1325119,2025-08-16T09:00:00+00:00,1755334800,1935.0,317,297,NS,Regular Season - 23,100,2025
1325120,2025-08-16T09:00:00+00:00,1755334800,2775.0,805,7135,NS,Regular Season - 23,100,2025
1325121,2025-08-16T10:00:00+00:00,1755338400,11575.0,2236,4324,NS,Regular Season - 23,100,2025
1325122,2025-08-23T09:30:00+00:00,1755941400,11578.0,4326,7138,NS,Regular Season - 24,100,2025
1325123,2025-08-23T09:00:00+00:00,1755939600,11585.0,7145,300,NS,Regular Season - 24,100,2025
1325124,2025-08-23T10:00:00+00:00,1755943200,2774.0,756,315,NS,Regular Season - 24,100,2025
1325125,2025-08-23T09:00:00+00:00,1755939600,3306.0,4324,805,NS,Regular Season - 24,100,2025
1325126,2025-08-24T10:00:00+00:00,1756029600,958.0,297,4318,NS,Regular Season - 24,100,2025
1325127,2025-08-23T09:00:00+00:00,1755939600,5191.0,7135,7129,NS,Regular Season - 24,100,2025
1325128,2025-08-23T10:00:00+00:00,1755943200,11577.0,4319,304,NS,Regular Season - 24,100,2025
1325129,2025-08-23T10:00:00+00:00,1755943200,20519.0,10409,4314,NS,Regular Season - 24,100,2025
1325130,2025-08-24T10:00:00+00:00,1756029600,11575.0,2236,4323,NS,Regular Season - 24,100,2025
1325131,2025-08-23T09:00:00+00:00,1755939600,959.0,2235,317,NS,Regular Season - 24,100,2025
1325132,2025-08-30T09:00:00+00:00,1756544400,3301.0,4318,2236,NS,Regular Season - 25,100,2025
1325133,2025-08-30T10:00:00+00:00,1756548000,20714.0,315,7135,NS,Regular Season - 25,100,2025
1325134,2025-08-30T09:00:00+00:00,1756544400,969.0,304,4326,NS,Regular Season - 25,100,2025
1325135,2025-08-30T09:00:00+00:00,1756544400,3305.0,4323,805,NS,Regular Season - 25,100,2025
1325136,2025-08-30T10:00:00+00:00,1756548000,987.0,300,4319,NS,Regular Season - 25,100,2025
1325137,2025-08-30T09:00:00+00:00,1756544400,3298.0,4314,7145,NS,Regular Season - 25,100,2025
1325138,2025-08-30T10:00:00+00:00,1756548000,958.0,297,2235,NS,Regular Season - 25,100,2025
1325139,2025-08-30T09:00:00+00:00,1756544400,20561.0,7138,4324,NS,Regular Season - 25,100,2025
1325140,2025-08-31T09:00:00+00:00,1756630800,1935.0,317,756,NS,Regular Season - 25,100,2025
1325141,2025-08-30T09:00:00+00:00,1756544400,5189.0,7129,10409,NS,Regular Season - 25,100,2025
1325142,2025-09-06T00:00:00+00:00,1757116800,11578.0,4326,4314,TBD,Regular Season - 26,100,2025
1325143,2025-09-06T00:00:00+00:00,1757116800,11585.0,7145,304,TBD,Regular Season - 26,100,2025
1325144,2025-09-06T00:00:00+00:00,1757116800,3306.0,4324,4323,TBD,Regular Season - 26,100,2025
1325145,2025-09-07T00:00:00+00:00,1757203200,987.0,300,7138,TBD,Regular Season - 26,100,2025
1325146,2025-09-06T00:00:00+00:00,1757116800,5191.0,7135,317,TBD,Regular Season - 26,100,2025
1325147,2025-09-06T00:00:00+00:00,1757116800,11577.0,4319,4318,TBD,Regular Season - 26,100,2025
1325148,2025-09-06T00:00:00+00:00,1757116800,2775.0,805,297,TBD,Regular Season - 26,100,2025
